no,blend_name,n_heptane_vol_pct,isooctane_vol_pct,toluene_vol_pct,TMB_vol_pct,cyclopentane_vol_pct,1_hexene_vol_pct,ethanol_vol_pct,RON,MON,ref
1,PRF+10,54,36,,,,,10,55.6,53,7
2,PRF+20,48,32,,,,,20,69,64,7
3,PRF+30,42,28,,,,,30,80.7,76,7
4,PRF+40,36,24,,,,,40,90.5,83.6,7
5,PRF+50,30,20,,,,,50,97.9,87.5,7
6,PRF+60,24,16,,,,,60,102.5,89,7
7,PRF+70,18,12,,,,,70,104.8,89.8,7
8,PRF+80,12,8,,,,,80,105.3,90.2,7
9,PRF+90,6,4,,,,,90,108.5,91,7
10,TPRF 1 + 0,42.5,47.3,10.2,,,,0,60.8,58,7
11,TPRF 1 + 10,38.3,42.5,9.2,,,,10,71.9,68,7
12,TPRF 1 + 20,34.0,37.8,8.2,,,,20,82.5,77.7,7
13,TPRF 1 + 40,25.5,28.4,6.1,,,,40,97.8,87.8,7
14,TPRF 1 + 60,17.0,18.9,4.1,,,,60,105.2,88.5,7
15,TPRF 2 + 0,46.5,33.7,19.8,,,,0,59.5,55.5,7
16,TPRF 2 + 10,41.9,30.3,17.8,,,,10,70.3,65,7
17,TPRF 2 + 20,37.2,27.0,15.8,,,,20,81,75.8,7
18,TPRF 2 + 40,27.9,20.2,11.9,,,,40,96.8,86.6,7
19,TPRF 2 + 60,18.6,13.5,7.9,,,,60,104.4,89.7,7
20,TPRF 3 + 0,54.2,5.6,40.2,,,,0,57.5,50.7,7
21,TPRF 3 + 10,48.8,5.0,36.2,,,,10,68.7,59.4,7
22,TPRF 3 + 20,43.3,4.5,32.2,,,,20,78.3,70.5,7
23,TPRF 3 + 40,32.5,3.4,24.1,,,,40,94.4,84.3,7
24,TPRF 3 + 60,21.7,2.2,16.1,,,,60,103.4,88.4,7
25,TPRF 4 + 1,40,60,,,,,0,60.6,60.8,71
26,TPRF 4 + 2,40,45,15,,,,0,64.3,62.3,71
27,TPRF 4 + 3,35,57.5,7.5,,,,0,67.3,66.1,71
28,TPRF 4 + 4,40,47.5,7.5,,,,5,66.6,64,71
29,TPRF 4 + 5,30,70,,,,,0,70.3,70.4,71
30,TPRF 4 + 6,40,35,15,,,,10,72.2,69,71
31,TPRF 4 + 7,35,60,,,,,5,70.5,68.7,71
32,TPRF 4 + 8,30,55,15,,,,0,74.2,71.9,71
33,TPRF 4 + 9,40,50,,,,,10,69.7,66.8,71
34,TPRF 4 + 10,35,45,15,,,,5,73.5,69.4,71
35,TPRF 4 + 11,35,52.5,7.5,,,,5,71.9,69.4,71
36,TPRF 4 + 12,35,47.5,7.5,,,,10,74.9,71.8,71
37,TPRF 4 + 13,30,57.5,7.5,,,,5,76.8,74.2,71
38,TPRF 4 + 14,30,60,,,,,10,78.7,76.7,71
39,TPRF 4 + 15,30,45,15,,,,10,81.6,77.2,71
40,TMB+0,,,,100,,,0,109.5,108,26
41,TMB+10,,,,90,,,10,107,102,26
42,TMB+25,,,,75,,,25,105,95.5,26
43,TMB+40,,,,60,,,40,104,93.5,26
44,TMB+60,,,,40,,,60,103.8,91,26
45,CP+0,,,,,100,,0,100,85.6,26
46,CP+10,,,,,90,,10,101,85.9,26
47,CP+25,,,,,75,,25,102.3,86.3,26
48,CP+40,,,,,60,,40,103.3,86.6,26
49,CP+60,,,,,40,,60,104.8,87.2,26
50,Hex+0,,,,,,100,0,73.6,64.5,26
51,Hex+10,,,,,,90,10,81,68.5,26
52,Hex+25,,,,,,75,25,89.2,74.5,26
53,Hex+40,,,,,,60,40,96.5,79.5,26
54,Hex+60,,,,,,40,60,101.7,84,26
55,TPRF 1,26.6,0.0,73.4,,,,,92.3,80.7,72
56,TPRF 2,9.8,72.3,17.9,,,,,93.7,90.3,72
57,TPRF 3,16.5,43.5,39.9,,,,,93,85.8,72
58,TPRF 4,14.6,51.7,33.7,,,,,93,86.7,72
59,TPRF 5,20.8,0.0,79.2,,,,,97.7,86.2,72
60,TPRF 6,10.0,65.1,24.9,,,,,95.2,90.5,72
61,TPRF 7,14.9,35.0,50.0,,,,,96.3,87.3,72
62,TPRF 8,16.6,69.3,14.1,,,,,86.6,84.2,72
63,TPRF 9,16.2,74.2,9.7,,,,,85.7,84.6,72
64,TPRF 10,13.7,42.8,43.5,,,,,96.3,88.3,72
65,TPRF 11,16.6,16.7,66.6,,,,,98,87.4,72
66,TPRF 12,66.6,16.7,16.7,,,,,39,37,72
67,TPRF 13,16.6,66.7,16.7,,,,,87,84,72
68,TPRF 14,49.9,0.0,50.1,,,,,65.9,57.7,72
69,TPRF 15,33.3,33.4,33.3,,,,,76.2,70.9,72
70,TPRF 16,41.9,0.0,58.1,,,,,75.6,66.9,72
71,TPRF 17,34.0,0.0,66.0,,,,,85.2,74.8,72
72,TPRF 18,30.0,0.0,70.0,,,,,89.3,78.2,72
73,TPRF 19,26.0,0.0,74.0,,,,,93.4,81.5,72
74,TPRF 20,21.0,5.0,73.9,,,,,96.9,85.2,72
75,TPRF 21,16.0,10.0,74.0,,,,,99.8,88.7,72
76,TPRF 22,36.0,54.0,10.0,,,,,66,64.4,72
77,TPRF 23,18.0,72.0,10.0,,,,,84.5,82,72
78,TPRF 24,32.0,48.0,20.0,,,,,73.6,70,72
79,TPRF 25,16.0,64.0,20.0,,,,,89.1,85.6,72
80,TPRF 26,56.0,14.0,30.0,,,,,53.2,48,72
81,TPRF 27,42.0,28.0,30.0,,,,,66.1,61,72
82,TPRF 28,28.0,42.0,30.0,,,,,79,74,72
83,TPRF 29,14.0,56.0,30.0,,,,,92.8,86.9,72
84,TPRF 30,48.0,12.0,40.0,,,,,63.7,58,72
85,TPRF 31,36.0,24.0,40.0,,,,,75.1,68,72
86,TPRF 32,24.0,36.0,40.0,,,,,86.2,79.6,72
87,TPRF 33,11.9,48.0,40.0,,,,,96.7,88.7,72
88,TPRF 34,40.0,10.0,50.0,,,,,75.5,68,72
89,TPRF 35,30.0,20.0,50.0,,,,,83.8,76.2,72
90,TPRF 36,20.0,30.0,50.0,,,,,92.1,82.9,72
91,TPRF 37,9.9,40.0,50.0,,,,,99.8,90.9,72
92,TPRF 38,30.0,10.0,60.0,,,,,85.3,75.2,72
93,TPRF 39,20.0,20.0,60.0,,,,,95,83.7,72
94,TPRF 40,33.0,52.0,15.0,,,,,71.2,69,72
95,TPRF 41,40.0,30.0,30.0,,,,,68.4,63.7,72
96,TPRF 42,12.5,72.5,15.0,,,,,90.5,88,72
97,TPRF 43,17.5,52.5,30.0,,,,,89.5,84.7,72
98,MC 1,23.0,57.0,,,,,20.0,74.6,72,72
99,MC 2,31.0,44.0,15.0,,,,10.0,72,68,72
100,MC 3,29.0,36.0,15.0,,,,20.0,72,67.2,72
101,MC 4,5.1,84.7,,,,,10.2,92.9,90.2,72
102,MC 5,3.0,77.0,,,,,20.0,93,88.5,72
103,MC 6,10.0,65.0,15.0,,,,10.0,91.2,86.8,72
104,MC 7,28.0,57.0,,,,,15.0,77.8,74.6,72
105,MC 8,7.0,58.0,15.0,,,,20.0,91.7,85.2,72
106,MC 9,29.0,41.0,,,,,30.0,83,77.7,72
107,MC 10,14,46.5,32,,,,7.5,91.4,84.9,72
108,MC 11,31.0,54.0,8.0,,,,7.0,73.5,71.8,72
109,MC 12,11.0,39.0,30.0,,,,20.0,90.9,82.7,72
110,MC 13,34.0,36.0,17.6,,,,12.3,76.7,72,72
111,MC 14,9.0,76.0,,,,,15.0,94.2,90.5,72
112,MC 15,34.0,36.0,15.0,,,,15.0,82.6,76.2,72
113,MC 16,9.0,61.0,,,,,30.0,96.8,90,72
114,MC 17,10.0,75.0,8.0,,,,7.0,93.3,90.1,72
115,MC 18,12.5,57.5,15.0,,,,15.0,94.4,88.4,72
116,MC 19,25.0,65.0,,,,,10.0,74.2,72.6,72
117,MC 20,9.0,81.0,,,,,10.0,94.1,91.4,72
118,MC 21,9.0,71.0,,,,,20.0,97.5,90.7,72
119,MC 22,13.0,62.0,15.0,,,,10.0,93,88,72
120,MC 23,17.0,43.0,30.0,,,,10.0,91.7,85.5,72
121,MC 24,14.0,51.0,15.0,,,,20.0,94.5,87.8,72
122,MC 25,18.0,32.0,30.0,,,,20.0,92.9,85.3,72
123,MC 26,43.0,7.0,30.0,,,,20.0,70.9,66,72
