name,CAS,Temperature (K),A,B,C,Reference,Comment
n-Pentane,109-66-0,268.8 to 341.37,3.9892,1070.617,-40.454,"Osborn and Douslin, 1974",Coefficents calculated by NIST from author's data.
n-Hexane,110-54-3,177.70 to 264.93,3.45604,1044.038,-53.893,"Carruth and Kobayashi, 1973",Coefficents calculated by NIST from author's data.
n-Hexane,110-54-3,286.18 to 342.69,4.00266,1171.53,-48.784,"Williamham, Taylor, et al., 1945",
n-Heptane,142-82-5,185.29 to 295.60,4.81803,1635.409,-27.338,"Carruth and Kobayashi, 1973",Coefficents calculated by NIST from author's data.
n-Heptane,142-82-5,299.07 to 372.43,4.02832,1268.636,-56.199,"Williamham, Taylor, et al., 1945",
n-Octane,111-65-9,216.59 to 297.10,5.2012,1936.281,-20.143,"Carruth and Kobayashi, 1973",Coefficents calculated by NIST from author's data.
n-Octane,111-65-9,326.08 to 399.72,4.04867,1355.126,-63.633,"Williamham, Taylor, et al., 1945",
n-Nonane,111-84-2,219.7 to 307.73,3.82489,1492.928,-55.895,"Carruth and Kobayashi, 1973",Coefficents calculated by NIST from author's data.
n-Nonane,111-84-2,343.49 to 424.94,4.06245,1430.377,-71.355,"Forziati, Norris, et al., 1949, 2",Coefficents calculated by NIST from author's data.
n-Decane,124-18-5,243.49 to 310.59,0.21021,440.616,-156.896,"Carruth and Kobayashi, 1973",Coefficents calculated by NIST from author's data.
n-Decane,124-18-5,367.63 to 448.27,4.07857,1501.268,-78.67,"Williamham, Taylor, et al., 1945",
n-Undecane,1120-21-4,377.61 to 470.42,4.10164,1572.477,-85.128,"Camin and Rossini, 1955",
n-Dodecane,112-40-3,399.53 to 490.49,4.10549,1625.928,-92.839,"Williamham, Taylor, et al., 1945",
n-Tridecane,629-50-5,412.5 to 509.21,4.12829,1689.093,-98.866,"Camin and Rossini, 1955",
n-Tetradecane,629-59-4,428.01 to 527.31,4.13735,1739.623,-105.616,"Camin and Rossini, 1955",
n-Pentadecane,629-62-9,442.84 to 543.7,4.14935,1789.658,-111.859,"Camin and Rossini, 1955",
n-Hexadecane,544-76-3,463.20 to 559.9,4.17312,1845.672,-117.054,"Camin, Forziati, et al., 1954",Coefficents calculated by NIST from author's data.
n-Heptadecane,629-78-7,436.7 to 576.,3.9273,1718.004,-138.126,"Krafft, 1882",Coefficents calculated by NIST from author's data.
n-Octadecane,593-45-3,447.7 to 590.,4.33209,2068.963,-111.927,"Krafft, 1882",Coefficents calculated by NIST from author's data.
n-Nonadecane,629-92-5,306. to 328.,30.42816,28197.488,452.785,"Morecroft, 1964",Coefficents calculated by NIST from author's data.
Isopentane,78-78-4,190.3 to 300.9,3.90935,1018.516,-40.081,"Stull, 1947",Coefficents calculated by NIST from author's data.
Isopentane,78-78-4,300.9 to 453.5,3.97183,1021.864,-43.231,"Stull, 1947",Coefficents calculated by NIST from author's data.
Isopentane,78-78-4,289.44 to 301.74,3.91457,1020.012,-40.053,"Williamham, Taylor, et al., 1945",
Neopentane,463-82-1,205.7 to 293.16,3.28533,695.152,-70.679,"Hopfner, Parekh, et al., 1975",Coefficents calculated by NIST from author's data.
Neopentane,463-82-1,268.02 to 313.20,3.86373,950.318,-36.329,"Osborn and Douslin, 1974",Coefficents calculated by NIST from author's data.
Neopentane,463-82-1,343. to 433.,4.61616,1478.868,41.256,"Dawson, Silberberg, et al., 1973",Coefficents calculated by NIST from author's data.
2-Methylpentane,107-83-5,285.91 to 334.22,3.9640,1135.41,-46.578,"Williamham, Taylor, et al., 1945",
3-Methylpentane,96-14-0,288.44 to 337.23,3.97377,1152.368,-46.021,"Williamham, Taylor, et al., 1945",
"2,2-Dimethylbutane",75-83-2,210.99 to 289.38,3.7382,1022.204,-49.529,"Kilpatrick and Pitzer, 1946",Coefficents calculated by NIST from author's data.
"2,2-Dimethylbutane",75-83-2,288.53 to 323.68,3.87973,1081.176,-43.807,"Williamham, Taylor, et al., 1945",
"2,3-Dimethylbutane",79-29-8,287.41 to 331.94,3.93473,1127.187,-44.2,"Williamham, Taylor, et al., 1945",
2-Methylhexane,591-76-4,291.68 to 364.09,4.00653,1240.869,-53.047,"Forziati, Norris, et al., 1949, 2",Coefficents calculated by NIST from author's data.
3-Methylhexane,589-34-4,293.06 to 365.89,3.99885,1243.759,-53.524,"Forziati, Norris, et al., 1949, 2",Coefficents calculated by NIST from author's data.
"2,2,4-Trimethylpentane",540-84-1,194.64 to 298.44,3.94736,1282.332,-48.444,"Milazzo, 1956, 2",Coefficents calculated by NIST from author's data.
"2,2,4-Trimethylpentane",540-84-1,297.51 to 373.28,3.93679,1257.84,-52.415,"Williamham, Taylor, et al., 1945",
2-Methylheptane,592-27-8,233. to 283.,4.84562,1718.531,-29.682,"Osborn and Douslin, 1974",Coefficents calculated by NIST from author's data.
2-Methylheptane,592-27-8,314.86 to 391.69,4.04227,1337.468,-59.457,"Williamham, Taylor, et al., 1945",
2-Methyldecane,6975-98-0,273. to 462.37,4.21961,1640.288,-72.933,"Osborn and Douslin, 1974",Coefficents calculated by NIST from author's data.
Cyclopentane,287-92-3,288.86 to 323.18,4.00288,1119.208,-42.412,"Williamham, Taylor, et al., 1945",
Cyclopentane,287-92-3,225.90 to 287.39,4.24714,1235.305,-30.666,"Aston, Fink, et al., 1943",Coefficents calculated by NIST from author's data.
Methylcyclopentane,96-37-7,288.18 to 345.78,3.98773,1186.059,-47.108,"Williamham, Taylor, et al., 1945",
Cyclohexane,110-82-7,323. to 523.,4.13983,1316.554,-35.581,"Kerns, Anthony, et al., 1974",Coefficents calculated by NIST from author's data.
Cyclohexane,110-82-7,303. to 343.,3.9920,1216.93,-48.621,"Gaw and Swinton, 1968, 2",Coefficents calculated by NIST from author's data.
Cyclohexane,110-82-7,315.70 to 353.90,3.17125,780.637,-107.29,"Marinichev and Susarev, 1965, 2",Coefficents calculated by NIST from author's data.
Cyclohexane,110-82-7,293.06 to 354.73,3.96988,1203.526,-50.287,"Williamham, Taylor, et al., 1945",
Ethylcyclopentane,1640-89-7,301.93 to 377.54,4.02284,1305.001,-51.755,"Forziati, Norris, et al., 1949, 2",Coefficents calculated by NIST from author's data.
Propylcyclohexane,1678-92-8,345.84 to 430.89,4.01356,1461.715,-65.16,"Forziati, Norris, et al., 1949, 2",
trans-Decalin,493-02-7,365.51 to 461.02,3.99304,1572.899,-65.947,"Camin and Rossini, 1955",Coefficents calculated by NIST from author's data.
cis-Decalin,493-01-6,373.03 to 469.53,4.00047,1594.687,-69.731,"Camin and Rossini, 1955",Coefficents calculated by NIST from author's data.
Benzene,71-43-2,333.4 to 373.5,4.72583,1660.652,-1.461,"Eon, Pommier, et al., 1971",Coefficents calculated by NIST from author's data.
Benzene,71-43-2,297.9 to 318.,0.14591,39.165,-261.236,"Deshpande and Pandya, 1967",Coefficents calculated by NIST from author's data.
Benzene,71-43-2,421.56 to 554.8,4.60362,1701.073,20.806,"Kalafati, Rasskazov, et al., 1967",Coefficents calculated by NIST from author's data.
Benzene,71-43-2,287.70 to 354.07,4.01814,1203.835,-53.226,"Williamham, Taylor, et al., 1945",
Toluene,108-88-3,273.13 to 297.89,4.23679,1426.448,-45.957,"Besley and Bottomley, 1974",Coefficents calculated by NIST from author's data.
Toluene,108-88-3,303. to 343.,4.08245,1346.382,-53.508,"Gaw and Swinton, 1968, 2",Coefficents calculated by NIST from author's data.
Toluene,108-88-3,420.00 to 580.00,4.54436,1738.123,0.394,"Ambrose, Broderick, et al., 1967",Coefficents calculated by NIST from author's data.
Toluene,108-88-3,308.52 to 384.66,4.07827,1343.943,-53.773,"Williamham, Taylor, et al., 1945",
Toluene,108-88-3,273. to 323.,4.14157,1377.578,-50.507,"Pitzer and Scott, 1943",Coefficents calculated by NIST from author's data.
Ethylbenzene,100-41-4,420.00 to 600.00,4.40536,1695.026,-23.698,"Ambrose, Broderick, et al., 1967",Coefficents calculated by NIST from author's data.
Ethylbenzene,100-41-4,329.74 to 410.27,4.07488,1419.315,-60.539,"Williamham, Taylor, et al., 1945",
o-Xylene,95-47-6,336.61 to 418.52,4.12928,1478.244,-59.076,"Williamham, Taylor, et al., 1945",Coefficents calculated by NIST from author's data.
o-Xylene,95-47-6,273. to 323.,4.93755,1901.373,-26.268,"Pitzer and Scott, 1943",Coefficents calculated by NIST from author's data.
m-Xylene,108-38-3,332.4 to 413.19,4.13607,1463.218,-57.991,"Williamham, Taylor, et al., 1945",Coefficents calculated by NIST from author's data.
m-Xylene,108-38-3,273. to 333.,5.09199,1996.545,-14.772,"Pitzer and Scott, 1943",Coefficents calculated by NIST from author's data.
p-Xylene,106-42-3,286.43 to 452.38,4.14553,1474.403,-55.377,"Osborn and Douslin, 1974",Coefficents calculated by NIST from author's data.
p-Xylene,106-42-3,420.00 to 600.00,4.50944,1788.91,-13.902,"Ambrose, Broderick, et al., 1967",Coefficents calculated by NIST from author's data.
p-Xylene,106-42-3,331.44 to 412.44,4.11138,1450.688,-58.16,"Williamham, Taylor, et al., 1945",
p-Xylene,106-42-3,298. to 333.,4.44889,1644.214,-40.229,"Pitzer and Scott, 1943",Coefficents calculated by NIST from author's data.
Styrene,100-42-5,305.6 to 355.34,4.0593,1459.909,-59.551,"Chaiyavech and Van Winkle, 1959",Coefficents calculated by NIST from author's data.
Styrene,100-42-5,303.07 to 417.92,4.21948,1525.059,-56.379,"Dreyer, Martin, et al., 1955",Coefficents calculated by NIST from author's data.
Propylbenzene,103-65-1,348.97 to 433.39,4.07584,1490.963,-66.0,"Forziati, Norris, et al., 1949, 2",
Isopropylbenzene,98-82-8,343.17 to 426.52,4.05419,1455.811,-65.948,"Williamham, Taylor, et al., 1945",
"1,2,3-Trimethylbenzene",526-73-8,363.48 to 450.28,4.16572,1593.958,-66.072,"Forziati, Norris, et al., 1949, 2",
"1,2,4-Trimethylbenzene",95-63-6,358.0 to 443.53,4.16873,1573.267,-64.586,"Forziati, Norris, et al., 1949, 2",
"1,3,5-Trimethylbenzene",108-67-8,354.64 to 438.87,4.19927,1569.622,-63.572,"Forziati, Norris, et al., 1949, 2",
Butylbenzene,104-51-8,369.38 to 457.48,4.10808,1577.965,-71.772,"Forziati, Norris, et al., 1949, 2",
tert-Butylbenzene,98-06-6,357.03 to 443.31,4.0454,1504.572,-69.822,"Forziati, Norris, et al., 1949, 2",
sec-Butylbenzene,135-98-8,360.27 to 447.51,4.07587,1540.174,-68.049,"Forziati, Norris, et al., 1949, 2",
Isobutylbenzene,538-93-2,359.79 to 446.96,4.05523,1526.384,-68.979,"Forziati, Norris, et al., 1949, 2",
Tetralin,119-64-2,367.0 to 479.4,4.12671,1690.912,-70.229,"Herz and Schuftan, 1922",Coefficents calculated by NIST from author's data.
Naphthalene,91-20-3,353.48 to 452.30,4.27117,1831.571,-61.329,"Fowler, Trump, et al., 1968",Coefficents calculated by NIST from author's data.
Naphthalene,91-20-3,399.47 to 491.79,3.97067,1606.529,-85.923,"Camin and Rossini, 1955",
1-Methylnaphthalene,90-12-0,415.29 to 518.48,4.16082,1826.948,-78.148,"Camin and Rossini, 1955",
2-Methylnaphthalene,91-57-6,412.34 to 514.91,4.1934,1840.268,-74.755,"Camin and Rossini, 1955",
Biphenyl,92-52-4,342.3 to 544.3,4.35685,1987.623,-71.556,"Cunningham, 1930, 2",Coefficents calculated by NIST from author's data.
Fluorene,86-73-7,434. to 573.6,5.25103,3011.076,3.857,"Mortimer and Murphy, 1923",Coefficents calculated by NIST from author's data.
Acenaphthene,83-32-9,368. to 413.,4.32236,2062.099,-73.146,"Osborn and Douslin, 1975, 2",Coefficents calculated by NIST from author's data.
Acenaphthene,83-32-9,420.4 to 560.9,4.93117,2611.29,-20.227,"Mortimer and Murphy, 1923",Coefficents calculated by NIST from author's data.
Phenanthrene,85-01-8,373. to 423.,4.51922,2428.448,-70.96,"Osborn and Douslin, 1975, 2",Coefficents calculated by NIST from author's data.
Phenanthrene,85-01-8,476.8 to 619.9,4.6894,2673.32,-40.7,"Mortimer and Murphy, 1923",Coefficents calculated by NIST from author's data.
Anthracene,120-12-7,496.4 to 613.8,4.72997,2759.53,-30.753,"Mortimer and Murphy, 1923",Coefficents calculated by NIST from author's data.
"1,3-Diethylbenzene",141-93-5,368.24 to 455.31,4.13091,1576.261,-72.146,"Forziati, Norris, et al., 1949, 2",
"1,4-Diethylbenzene",105-05-5,369.97 to 457.97,4.12544,1589.273,-71.131,"Forziati, Norris, et al., 1949, 2",
1-Pentene,109-67-1,285.98 to 303.87,3.91058,1014.294,-43.367,"Forziati, Camin, et al., 1950, 2",
1-Hexene,592-41-6,289.04 to 337.46,3.99063,1152.971,-47.301,"Forziati, Camin, et al., 1950, 2",
1-Octene,111-66-0,318.04 to 395.37,4.05752,1353.486,-60.386,"Forziati, Camin, et al., 1950, 2",
1-Decene,872-05-9,359.92 to 444.8,4.08526,1501.872,-75.572,"Forziati, Camin, et al., 1950, 2",
1-Dodecene,112-41-4,396.8 to 487.62,4.10012,1619.862,-90.879,"Forziati, Camin, et al., 1950, 2",
1-Tetradecene,1120-36-1,431.61 to 524.90,4.14495,1745.001,-102.675,"Camin and Rossini, 1955",
1-Hexadecene,629-73-2,461.30 to 557.92,4.16208,1837.811,-115.859,"Camin, Forziati, et al., 1954",Coefficents calculated by NIST from author's data.
