name,CAS,ΔvapS (J/mol*K),Temperature (K),Reference,Comment,ΔfusS (J/mol*K),"Cp,gas(J/mol*K)",ΔStrs(J/mol*K),Initial Phase,Final Phase,ΔsubS (J/mol*K)
n-Pentane,109-66-0,87.88,298.15,"Messerly and Kennedy, 1940",P;DH,,,,,,
n-Pentane,109-66-0,,143.47,"Messerly, Guthrie, et al., 1967",DH,58.56,,,,,
n-Pentane,109-66-0,,143.46,"Messerly and Kennedy, 1940",DH,58.66,,,,,
n-Pentane,109-66-0,,143.4,"Parks and Huffman, 1930",DH,58.41,,,,,
n-Pentane,109-66-0,,298.15,"Kharin V.E., 1985","Experimental data [Sage B.H., 1937] are less accurate than selected ones. Please also seeHossenlopp I.A., 1981.;GT",,120.07 ± 0.24,,,,
n-Pentane,109-66-0,,323.15,,,,127.84 ± 0.26,,,,
n-Pentane,109-66-0,,348.15,,,,135.90 ± 0.27,,,,
n-Pentane,109-66-0,,373.15,,,,143.95 ± 0.29,,,,
n-Pentane,109-66-0,,398.15,,,,151.92 ± 0.30,,,,
n-Pentane,109-66-0,,423.15,,,,159.67 ± 0.32,,,,
n-Pentane,109-66-0,,448.15,,,,167.37 ± 0.33,,,,
n-Pentane,109-66-0,,450.,,,,168.11,,,,
n-Pentane,109-66-0,,473.15,,,,174.75 ± 0.35,,,,
n-Pentane,109-66-0,,498.15,,,,181.98 ± 0.36,,,,
n-Pentane,109-66-0,,500.,,,,182.39,,,,
n-Pentane,109-66-0,,523.15,,,,189.08 ± 0.38,,,,
n-Pentane,109-66-0,,550.,,,,195.96,,,,
n-Pentane,109-66-0,,600.,,,,209.23,,,,
n-Pentane,109-66-0,,650.,,,,221.93,,,,
n-Pentane,109-66-0,,700.,,,,232.90,,,,
n-Pentane,109-66-0,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1944,Pitzer K.S., 1946].;GT",,93.55,,,,
n-Pentane,109-66-0,,273.15,,,,112.55,,,,
n-Pentane,109-66-0,,298.15,,,,120.0 ± 0.1,,,,
n-Pentane,109-66-0,,300.,,,,120.62,,,,
n-Pentane,109-66-0,,400.,,,,152.55,,,,
n-Pentane,109-66-0,,500.,,,,182.59,,,,
n-Pentane,109-66-0,,600.,,,,208.78,,,,
n-Pentane,109-66-0,,700.,,,,231.38,,,,
n-Pentane,109-66-0,,800.,,,,250.62,,,,
n-Pentane,109-66-0,,900.,,,,266.94,,,,
n-Pentane,109-66-0,,1000.,,,,281.58,,,,
n-Pentane,109-66-0,,1100.,,,,293.72,,,,
n-Pentane,109-66-0,,1200.,,,,304.60,,,,
n-Pentane,109-66-0,,1300.,,,,313.80,,,,
n-Pentane,109-66-0,,1400.,,,,322.17,,,,
n-Pentane,109-66-0,,1500.,,,,330.54,,,,
n-Hexane,110-54-3,,177.84,"Douslin and Huffman, 1946",DH,73.54,,,,,
n-Hexane,110-54-3,,177.90,"Stull, 1937",DH,69.38,,,,,
n-Hexane,110-54-3,,177.9,"Huffman, Parks, et al., 1931",DH,73.3,,,,,
n-Hexane,110-54-3,,178.6,"Parks, Huffman, et al., 1930",DH,70.44,,,,,
n-Hexane,110-54-3,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1944,Pitzer K.S., 1946] (see also [Waddington G., 1949]).;GT",,110.58,,,,
n-Hexane,110-54-3,,273.15,,,,133.55,,,,
n-Hexane,110-54-3,,298.15,,,,142.6 ± 0.2,,,,
n-Hexane,110-54-3,,300.,,,,143.26,,,,
n-Hexane,110-54-3,,400.,,,,181.54,,,,
n-Hexane,110-54-3,,500.,,,,217.28,,,,
n-Hexane,110-54-3,,600.,,,,248.11,,,,
n-Hexane,110-54-3,,700.,,,,274.05,,,,
n-Hexane,110-54-3,,800.,,,,296.23,,,,
n-Hexane,110-54-3,,900.,,,,315.06,,,,
n-Hexane,110-54-3,,1000.,,,,331.37,,,,
n-Hexane,110-54-3,,1100.,,,,345.18,,,,
n-Hexane,110-54-3,,1200.,,,,357.31,,,,
n-Hexane,110-54-3,,1300.,,,,368.19,,,,
n-Hexane,110-54-3,,1400.,,,,376.56,,,,
n-Hexane,110-54-3,,1500.,,,,389.11,,,,
n-Hexane,110-54-3,,333.85,"Waddington G., 1947",GT,,156.27 ± 0.31,,,,
n-Hexane,110-54-3,,365.15,,,,168.28 ± 0.34,,,,
n-Hexane,110-54-3,,398.85,,,,181.17 ± 0.36,,,,
n-Hexane,110-54-3,,433.70,,,,194.10 ± 0.39,,,,
n-Hexane,110-54-3,,468.90,,,,206.94 ± 0.41,,,,
n-Heptane,142-82-5,,182.59,"Schaake, Offringa, et al., 1979",DH,76.96,,,,,
n-Heptane,142-82-5,,182.55,"Huffman, Gross, et al., 1961",DH,76.89,,,,,
n-Heptane,142-82-5,,182.55,"McCullough and Messerly, 1961",DH,76.89,,,,,
n-Heptane,142-82-5,,182.56,"Douglas, Furukawa, et al., 1954",DH,78.81,,,,,
n-Heptane,142-82-5,,182.56,"Ginnings and Furukawa, 1953",DH,76.81,,,,,
n-Heptane,142-82-5,,182.52,"Pitzer K.S., 1940",DH,76.93,,,,,
n-Heptane,142-82-5,,182.7,"Meijer, Blok, et al., 1977",DH,77.0,,,,,
n-Heptane,142-82-5,,182.56,"Van Miltenburg, 1972",DH,77.02,,,,,
n-Heptane,142-82-5,,182.56,"Oetting F.L., 1963",DH,76.81,,,,,
n-Heptane,142-82-5,,182.2,"Huffman, Parks, et al., 1930",DH,77.73,,,,,
n-Heptane,142-82-5,,182.2,"Parks, Huffman, et al., 1930",DH,77.73,,,,,
n-Heptane,142-82-5,,200.,"Scott D.W., 1974","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974, 2,Scott D.W., 1974]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1944,Pitzer K.S., 1946].;GT",,127.65,,,,
n-Heptane,142-82-5,,273.15,,,,154.64,,,,
n-Heptane,142-82-5,,298.15,,,,165.2 ± 0.3,,,,
n-Heptane,142-82-5,,300.,,,,165.98,,,,
n-Heptane,142-82-5,,400.,,,,210.66,,,,
n-Heptane,142-82-5,,500.,,,,252.09,,,,
n-Heptane,142-82-5,,600.,,,,287.44,,,,
n-Heptane,142-82-5,,700.,,,,317.15,,,,
n-Heptane,142-82-5,,800.,,,,342.25,,,,
n-Heptane,142-82-5,,900.,,,,363.59,,,,
n-Heptane,142-82-5,,1000.,,,,381.58,,,,
n-Heptane,142-82-5,,1100.,,,,397.06,,,,
n-Heptane,142-82-5,,1200.,,,,410.45,,,,
n-Heptane,142-82-5,,1300.,,,,422.58,,,,
n-Heptane,142-82-5,,1400.,,,,435.14,,,,
n-Heptane,142-82-5,,1500.,,,,443.50,,,,
n-Heptane,142-82-5,,357.10,"Waddington G., 1947",GT,,191.50 ± 0.19,,,,
n-Heptane,142-82-5,,373.15,,,,198.78 ± 0.20,,,,
n-Heptane,142-82-5,,400.40,,,,210.75 ± 0.21,,,,
n-Heptane,142-82-5,,434.35,,,,225.31 ± 0.23,,,,
n-Heptane,142-82-5,,466.10,,,,238.49 ± 0.24,,,,
n-Octane,111-65-9,,216.38,"Finke, Gross, et al., 1954",DH,95.85,,,,,
n-Octane,111-65-9,,215.8,"Huffman, Parks, et al., 1931",DH,95.7,,,,,
n-Octane,111-65-9,,215.6,"Parks, Huffman, et al., 1930",DH,93.19,,,,,
n-Octane,111-65-9,,385.65,"Hossenlopp I.A., 1981","Please also seeBarrow G.M., 1951.;GT",,232.74 ± 0.47,,,,
n-Octane,111-65-9,,398.15,,,,238.95 ± 0.48,,,,
n-Octane,111-65-9,,405.7,,,,242.67,,,,
n-Octane,111-65-9,,423.15,,,,250.59 ± 0.50,,,,
n-Octane,111-65-9,,448.15,,,,263.02 ± 0.53,,,,
n-Octane,111-65-9,,462.5,,,,270.70,,,,
n-Octane,111-65-9,,473.15,,,,274.84 ± 0.55,,,,
n-Octane,111-65-9,,498.15,,,,285.98 ± 0.57,,,,
n-Octane,111-65-9,,522.7,,,,295.39,,,,
n-Octane,111-65-9,,523.15,,,,297.00 ± 0.59,,,,
n-Octane,111-65-9,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1944,Pitzer K.S., 1946].;GT",,144.77,,,,
n-Octane,111-65-9,,273.15,,,,175.69,,,,
n-Octane,111-65-9,,298.15,,,,187.8 ± 0.4,,,,
n-Octane,111-65-9,,300.,,,,188.70,,,,
n-Octane,111-65-9,,400.,,,,239.74,,,,
n-Octane,111-65-9,,500.,,,,286.81,,,,
n-Octane,111-65-9,,600.,,,,326.77,,,,
n-Octane,111-65-9,,700.,,,,360.24,,,,
n-Octane,111-65-9,,800.,,,,388.28,,,,
n-Octane,111-65-9,,900.,,,,411.71,,,,
n-Octane,111-65-9,,1000.,,,,431.37,,,,
n-Octane,111-65-9,,1100.,,,,448.52,,,,
n-Octane,111-65-9,,1200.,,,,463.17,,,,
n-Octane,111-65-9,,1300.,,,,476.98,,,,
n-Octane,111-65-9,,1400.,,,,489.53,,,,
n-Octane,111-65-9,,1500.,,,,497.90,,,,
n-Nonane,111-84-2,,217.2,"Finke, Gross, et al., 1954",DH,,,28.91,"crystaline, II","crystaline, I",
n-Nonane,111-84-2,,219.66,"Finke, Gross, et al., 1954",DH,,,70.42,"crystaline, I",liquid,
n-Nonane,111-84-2,,219.2,"Huffman, Parks, et al., 1931",Included;DH,,,100.9,"crystaline, I",liquid,
n-Nonane,111-84-2,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a good agreement with experimental data available for alkanes. However, large uncertainties could be expected at high temperatures.;GT",,161.92,,,,
n-Nonane,111-84-2,,273.15,,,,196.77,,,,
n-Nonane,111-84-2,,298.15,,,,210.4 ± 0.5,,,,
n-Nonane,111-84-2,,300.,,,,211.42,,,,
n-Nonane,111-84-2,,400.,,,,268.82,,,,
n-Nonane,111-84-2,,500.,,,,321.54,,,,
n-Nonane,111-84-2,,600.,,,,366.10,,,,
n-Nonane,111-84-2,,700.,,,,403.34,,,,
n-Nonane,111-84-2,,800.,,,,433.88,,,,
n-Nonane,111-84-2,,900.,,,,459.82,,,,
n-Nonane,111-84-2,,1000.,,,,481.58,,,,
n-Nonane,111-84-2,,1100.,,,,499.99,,,,
n-Nonane,111-84-2,,1200.,,,,516.31,,,,
n-Nonane,111-84-2,,1300.,,,,531.37,,,,
n-Nonane,111-84-2,,1400.,,,,543.92,,,,
n-Nonane,111-84-2,,1500.,,,,556.47,,,,
n-Decane,124-18-5,,243.51,"Finke, Gross, et al., 1954",DH,117.92,,,,,
n-Decane,124-18-5,,243.5,"Domalski and Hearing, 1996",CAL,117.99,,,,,
n-Decane,124-18-5,,243.1,"Huffman, Parks, et al., 1931",DH,118.4,,,,,
n-Decane,124-18-5,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a good agreement with experimental data available for alkanes. However, large uncertainties could be expected at high temperatures.;GT",,179.08,,,,
n-Decane,124-18-5,,273.15,,,,217.90,,,,
n-Decane,124-18-5,,298.15,,,,233.1 ± 0.6,,,,
n-Decane,124-18-5,,300.,,,,234.18,,,,
n-Decane,124-18-5,,400.,,,,297.98,,,,
n-Decane,124-18-5,,500.,,,,356.43,,,,
n-Decane,124-18-5,,600.,,,,405.85,,,,
n-Decane,124-18-5,,700.,,,,446.43,,,,
n-Decane,124-18-5,,800.,,,,479.90,,,,
n-Decane,124-18-5,,900.,,,,508.36,,,,
n-Decane,124-18-5,,1000.,,,,531.79,,,,
n-Decane,124-18-5,,1100.,,,,551.87,,,,
n-Decane,124-18-5,,1200.,,,,569.44,,,,
n-Decane,124-18-5,,1300.,,,,585.76,,,,
n-Decane,124-18-5,,1400.,,,,598.31,,,,
n-Decane,124-18-5,,1500.,,,,610.86,,,,
n-Undecane,1120-21-4,,236.6,"Domalski and Hearing, 1996",CAL,29.,,,,,
n-Undecane,1120-21-4,,236.6,"Finke, Gross, et al., 1954, 2",DH,,,23.99,"crystaline, II","crystaline, I",
n-Undecane,1120-21-4,,247.59,"Finke, Gross, et al., 1954, 2",DH,,,89.58,"crystaline, I",liquid,
n-Undecane,1120-21-4,,236.1,"Huffman, Parks, et al., 1931, 2",DH,,,26.8,"crystaline, II","crystaline, I",
n-Undecane,1120-21-4,,247.2,"Huffman, Parks, et al., 1931, 2",DH,,,90.3,"crystaline, I",liquid,
n-Dodecane,112-40-3,,263.59,"Finke, Gross, et al., 1954",DH,139.75,,,,,
n-Dodecane,112-40-3,,263.5,"Huffman, Parks, et al., 1931",DH,138.8,,,,,
n-Tridecane,629-50-5,,255.,"Domalski and Hearing, 1996",CAL,30.04,,,,,
n-Tridecane,629-50-5,,267.8,,,106.27,,,,,
n-Tridecane,629-50-5,,255.0,"Finke, Gross, et al., 1954",DH,,,30.04,"crystaline, II","crystaline, I",
n-Tridecane,629-50-5,,267.79,"Finke, Gross, et al., 1954",DH,,,106.43,"crystaline, I",liquid,
n-Tetradecane,629-59-4,,279.03,"Finke, Gross, et al., 1954, 2",DH,161.52,,,,,
n-Tetradecane,629-59-4,,194.,"Parks and Light, 1934",DH,,,0.94,"crystaline, II","crystaline, I",
n-Tetradecane,629-59-4,,288.7,"Parks and Light, 1934",DH,,,153.3,"crystaline, I",liquid,
n-Pentadecane,629-62-9,,270.9,"Domalski and Hearing, 1996",CAL,33.85,,,,,
n-Pentadecane,629-62-9,,283.1,,,122.17,,,,,
n-Pentadecane,629-62-9,,270.9,"Finke, Gross, et al., 1954, 2",DH,,,33.84,"crystaline, II","crystaline, I",
n-Pentadecane,629-62-9,,283.11,"Finke, Gross, et al., 1954, 2",DH,,,122.19,"crystaline, I",liquid,
n-Hexadecane,544-76-3,,291.34,"Finke, Gross, et al., 1954",DH,183.15,,,,,
n-Hexadecane,544-76-3,,291.1,"Parks, Moore, et al., 1949",DH,177.1,,,,,
n-Hexadecane,544-76-3,,291.3,"Domalski and Hearing, 1996",CAL,183.13,,,,,
n-Hexadecane,544-76-3,,291.1,,,176.79,,,,,
n-Heptadecane,629-78-7,,284.3,"Domalski and Hearing, 1996",CAL,38.56,,,,,
n-Heptadecane,629-78-7,,295.1,,,136.11,,,,,
n-Heptadecane,629-78-7,,284.27,"Messerly, Guthrie, et al., 1967, 2",DH,,,38.50,"crystaline, II","crystaline, I",
n-Heptadecane,629-78-7,,295.14,"Messerly, Guthrie, et al., 1967, 2",DH,,,136.08,"crystaline, I",liquid,
n-Octadecane,593-45-3,,301.0,"Kolesnikov and Syunyaev, 1985",DH,201.9,,,,,
n-Octadecane,593-45-3,,301.33,"Messerly, Guthrie, et al., 1967, 2",DH,204.6,,,,,
n-Octadecane,593-45-3,,301.3,"Parks, Moore, et al., 1949, 2",DH,200.7,,,,,
n-Octadecane,593-45-3,,301.35,"Schaerer, Busso, et al., 1955",DH,,,203.6,"crystaline, I",liquid,
n-Nonadecane,629-92-5,,296.0,"Domalski and Hearing, 1996",CAL,46.2,,,,,
n-Nonadecane,629-92-5,,304.,,,155.9,,,,,
n-Nonadecane,629-92-5,,295.95,"Claudy, Letoffe, et al., 1979",DH,,,46.2,"crystaline, II","crystaline, I",
n-Nonadecane,629-92-5,,303.95,"Claudy, Letoffe, et al., 1979",DH,,,155.9,"crystaline, I",liquid,
n-Nonadecane,629-92-5,,295.95,"Schaerer, Busso, et al., 1955",DH,,,46.7,"crystaline, II","crystaline, I",
n-Nonadecane,629-92-5,,305.15,"Schaerer, Busso, et al., 1955",DH,,,150.1,"crystaline, I",liquid,
n-Eicosane,112-95-8,,308.8,"Kolesnikov and Syunyaev, 1985",DH,219.6,,,,,
n-Eicosane,112-95-8,,309.75,"Company, 1973",DH,225.6,,,,,
n-Eicosane,112-95-8,,308.5,"Syunyaev, Tumanyan, et al., 1984",Relative;DH,229.8,,,,,
n-Eicosane,112-95-8,,309.7,"Parks, Huffman, et al., 1930, 2",DH,198.50,,,,,
n-Eicosane,112-95-8,,309.75,"Schaerer, Busso, et al., 1955",DH,,,225.6,"crystaline, I",liquid,
Isopentane,78-78-4,84.48,293.95,"Schumann, Aston, et al., 1942, 2",P;DH,,,,,,
Isopentane,78-78-4,,113.37,"Guthrie and Huffman, 1943, 2",DH,45.48,,,,,
Isopentane,78-78-4,,113.39,"Schumann, Aston, et al., 1942, 2",DH,45.24,,,,,
Isopentane,78-78-4,,113.4,"Domalski and Hearing, 1996",CAL,45.23,,,,,
Isopentane,78-78-4,,112.6,"Parks, Huffman, et al., 1930, 2",DH,45.41,,,,,
Isopentane,78-78-4,,200.,"Scott D.W., 1974","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974, 2,Scott D.W., 1974]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculations [Pitzer K.S., 1946,Scott D.W., 1951].;GT",,84.94,,,,
Isopentane,78-78-4,,273.15,,,,110.37,,,,
Isopentane,78-78-4,,298.15,,,,118.9 ± 0.4,,,,
Isopentane,78-78-4,,300.,,,,119.50,,,,
Isopentane,78-78-4,,400.,,,,152.88,,,,
Isopentane,78-78-4,,500.,,,,183.26,,,,
Isopentane,78-78-4,,600.,,,,210.04,,,,
Isopentane,78-78-4,,700.,,,,233.05,,,,
Isopentane,78-78-4,,800.,,,,253.13,,,,
Isopentane,78-78-4,,900.,,,,270.70,,,,
Isopentane,78-78-4,,1000.,,,,286.19,,,,
Isopentane,78-78-4,,1100.,,,,299.57,,,,
Isopentane,78-78-4,,1200.,,,,311.29,,,,
Isopentane,78-78-4,,1300.,,,,322.17,,,,
Isopentane,78-78-4,,1400.,,,,330.54,,,,
Isopentane,78-78-4,,1500.,,,,338.90,,,,
Isopentane,78-78-4,,317.20,"Scott D.W., 1951",GT,,125.31 ± 0.37,,,,
Isopentane,78-78-4,,358.15,,,,139.12 ± 0.42,,,,
Isopentane,78-78-4,,402.30,,,,153.64 ± 0.46,,,,
Isopentane,78-78-4,,449.20,,,,168.36 ± 0.51,,,,
Isopentane,78-78-4,,487.05,,,,179.62 ± 0.54,,,,
Neopentane,463-82-1,80.50,282.61,"Aston and Messerly, 1936, 2",P;DH,,,,,,
Neopentane,463-82-1,,140.,"Domalski and Hearing, 1996",CAL,18.41,,,,,
Neopentane,463-82-1,,256.5,,,12.69,,,,,
Neopentane,463-82-1,,140.5,"Chang and Westrum, 1970",DH,,,18.70,"crystaline, II","crystaline, I",
Neopentane,463-82-1,,256.76,"Chang and Westrum, 1970",DH,,,12.05,"crystaline, I",liquid,
Neopentane,463-82-1,,140. to 142.,"Enokida, Shinoda, et al., 1969",DH,,,18.70,"crystaline, II, Second","crystaline, I, order transition, 140 to 142 K",
Neopentane,463-82-1,,256.76,"Enokida, Shinoda, et al., 1969",DH,,,12.06,"crystaline, I",liquid,
Neopentane,463-82-1,,140.0,"Aston and Messerly, 1936, 2",DH,,,18.41,"crystaline, II","crystaline, I",
Neopentane,463-82-1,,256.53,"Aston and Messerly, 1936, 2",DH,,,12.68,"crystaline, I",liquid,
Neopentane,463-82-1,,298.15,"Hossenlopp I.A., 1981",GT,,120.82 ± 0.25,,,,
Neopentane,463-82-1,,323.15,,,,129.58 ± 0.26,,,,
Neopentane,463-82-1,,348.15,,,,138.41 ± 0.28,,,,
Neopentane,463-82-1,,373.15,,,,147.06 ± 0.29,,,,
Neopentane,463-82-1,,398.15,,,,155.46 ± 0.31,,,,
Neopentane,463-82-1,,423.15,,,,163.52 ± 0.32,,,,
Neopentane,463-82-1,,448.15,,,,171.46 ± 0.34,,,,
Neopentane,463-82-1,,473.15,,,,178.95 ± 0.36,,,,
Neopentane,463-82-1,,498.15,,,,186.42 ± 0.37,,,,
Neopentane,463-82-1,,523.15,,,,193.38 ± 0.39,,,,
Neopentane,463-82-1,,200.,"Scott D.W., 1974","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974, 2,Scott D.W., 1974]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1946].;GT",,80.54,,,,
Neopentane,463-82-1,,273.15,,,,111.63,,,,
Neopentane,463-82-1,,298.15,,,,120.83 ± 0.25,,,,
Neopentane,463-82-1,,300.,,,,121.55,,,,
Neopentane,463-82-1,,400.,,,,155.98,,,,
Neopentane,463-82-1,,500.,,,,186.98,,,,
Neopentane,463-82-1,,600.,,,,214.64,,,,
Neopentane,463-82-1,,700.,,,,238.91,,,,
Neopentane,463-82-1,,800.,,,,261.08,,,,
Neopentane,463-82-1,,900.,,,,280.33,,,,
Neopentane,463-82-1,,1000.,,,,297.90,,,,
Neopentane,463-82-1,,1100.,,,,313.38,,,,
Neopentane,463-82-1,,1200.,,,,327.19,,,,
Neopentane,463-82-1,,1300.,,,,338.90,,,,
Neopentane,463-82-1,,1400.,,,,351.46,,,,
Neopentane,463-82-1,,1500.,,,,359.82,,,,
2-Methylpentane,107-83-5,,119.55,"Douslin and Huffman, 1946, 2",DH,52.43,,,,,
2-Methylpentane,107-83-5,,200.,"Scott D.W., 1974","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974, 2,Scott D.W., 1974]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1946] (see also [Waddington G., 1949]).;GT",,101.34,,,,
2-Methylpentane,107-83-5,,273.15,,,,131.88,,,,
2-Methylpentane,107-83-5,,298.15,,,,142.2 ± 0.2,,,,
2-Methylpentane,107-83-5,,300.,,,,143.01,,,,
2-Methylpentane,107-83-5,,400.,,,,183.51,,,,
2-Methylpentane,107-83-5,,500.,,,,219.83,,,,
2-Methylpentane,107-83-5,,600.,,,,251.04,,,,
2-Methylpentane,107-83-5,,700.,,,,277.40,,,,
2-Methylpentane,107-83-5,,800.,,,,300.41,,,,
2-Methylpentane,107-83-5,,900.,,,,320.08,,,,
2-Methylpentane,107-83-5,,1000.,,,,337.23,,,,
2-Methylpentane,107-83-5,,1100.,,,,351.87,,,,
2-Methylpentane,107-83-5,,1200.,,,,364.84,,,,
2-Methylpentane,107-83-5,,1300.,,,,376.56,,,,
2-Methylpentane,107-83-5,,1400.,,,,389.11,,,,
2-Methylpentane,107-83-5,,1500.,,,,397.48,,,,
2-Methylpentane,107-83-5,,325.10,"Waddington G., 1949",GT,,153.85,,,,
2-Methylpentane,107-83-5,,362.15,,,,168.62,,,,
2-Methylpentane,107-83-5,,402.25,,,,184.43,,,,
2-Methylpentane,107-83-5,,436.20,,,,197.23,,,,
2-Methylpentane,107-83-5,,471.15,,,,209.87,,,,
3-Methylpentane,96-14-0,,110.26,"Finke and Messerly, 1973, 2",DH,,,48.101,"crystaline, I",liquid,
3-Methylpentane,96-14-0,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1946] (see also [Waddington G., 1949]).;GT",,98.91,,,,
3-Methylpentane,96-14-0,,273.15,,,,129.83,,,,
3-Methylpentane,96-14-0,,298.15,,,,140.1 ± 0.4,,,,
3-Methylpentane,96-14-0,,300.,,,,140.88,,,,
3-Methylpentane,96-14-0,,400.,,,,181.17,,,,
3-Methylpentane,96-14-0,,500.,,,,217.48,,,,
3-Methylpentane,96-14-0,,600.,,,,248.95,,,,
3-Methylpentane,96-14-0,,700.,,,,275.73,,,,
3-Methylpentane,96-14-0,,800.,,,,298.74,,,,
3-Methylpentane,96-14-0,,900.,,,,318.82,,,,
3-Methylpentane,96-14-0,,1000.,,,,335.98,,,,
3-Methylpentane,96-14-0,,1100.,,,,351.04,,,,
3-Methylpentane,96-14-0,,1200.,,,,364.01,,,,
3-Methylpentane,96-14-0,,1300.,,,,376.56,,,,
3-Methylpentane,96-14-0,,1400.,,,,384.93,,,,
3-Methylpentane,96-14-0,,1500.,,,,397.48,,,,
3-Methylpentane,96-14-0,,332.10,"Waddington G., 1949",GT,,154.31,,,,
3-Methylpentane,96-14-0,,367.55,,,,168.41,,,,
3-Methylpentane,96-14-0,,402.35,,,,181.71,,,,
3-Methylpentane,96-14-0,,436.20,,,,194.64,,,,
3-Methylpentane,96-14-0,,471.15,,,,207.32,,,,
"2,2-Dimethylbutane",75-83-2,,126.8,"Domalski and Hearing, 1996",CAL,42.57,,,,,
"2,2-Dimethylbutane",75-83-2,,140.8,,,2.02,,,,,
"2,2-Dimethylbutane",75-83-2,,174.3,,,3.31,,,,,
"2,2-Dimethylbutane",75-83-2,,126.81,"Douslin and Huffman, 1946",DH,,,42.66,"crystaline, III","crystaline, II",
"2,2-Dimethylbutane",75-83-2,,140.79,"Douslin and Huffman, 1946",DH,,,2.03,"crystaline, II","crystaline, I",
"2,2-Dimethylbutane",75-83-2,,174.28,"Douslin and Huffman, 1946",DH,,,3.32,"crystaline, I",liquid,
