name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
n-Eicosane,112-95-8,78.0,448.,N/A,"Morgan and Kobayashi, 1994",Based on data from 433. to 583. K.;AC,,,,,,
n-Eicosane,112-95-8,110. ± 2.,368.,TE,"Piacente, Fontana, et al., 1994",Based on data from 347. to 388. K.;AC,,,,,,
n-Eicosane,112-95-8,79.0,360.,"TE,ME,GS","Piacente, Pompili, et al., 1991",Based on data from 345. to 470. K.;AC,,,,,,
n-Eicosane,112-95-8,80.78 ± 0.07,440.,V,"Chirico, Nguyen, et al., 1989",ALS,,,,,,
n-Eicosane,112-95-8,80.8,440.,"EB,IP","Chirico, Nguyen, et al., 1989",Based on data from 388. to 625. K.;AC,,,,,,
n-Eicosane,112-95-8,68.3,540.,"EB,IP","Chirico, Nguyen, et al., 1989",Based on data from 388. to 625. K.;AC,,,,,,
n-Eicosane,112-95-8,89.6,378.,N/A,"Sasse, Jose, et al., 1988",Based on data from 363. to 460. K.;AC,,,,,,
n-Eicosane,112-95-8,71.1,543.,A,"Stephenson and Malanowski, 1987",Based on data from 528. to 620. K.;AC,,,,,,
n-Eicosane,112-95-8,93.3,359.,"A,GS","Stephenson and Malanowski, 1987","Based on data from 344. to 380. K. See alsoMacknick and Prausnitz, 1979.;AC",,,,,,
Isopentane,78-78-4,24.69,301.,N/A,"Majer and Svoboda, 1985",,,,,,,
Isopentane,78-78-4,24.832,293.95,N/A,"Schumann, Aston, et al., 1942, 2",P = 79.15 kPa;DH,,,,,,
Isopentane,78-78-4,26.9,270.,N/A,"Ewing and Goodwin, 1991",Based on data from 255. to 323. K.;AC,,,,,,
Isopentane,78-78-4,28.5,231.,A,"Stephenson and Malanowski, 1987",Based on data from 216. to 323. K.;AC,,,,,,
Isopentane,78-78-4,25.2,315.,A,"Stephenson and Malanowski, 1987",Based on data from 300. to 460. K.;AC,,,,,,
Isopentane,78-78-4,25.2,335.,A,"Stephenson and Malanowski, 1987",Based on data from 320. to 391. K.;AC,,,,,,
Isopentane,78-78-4,24.8,400.,A,"Stephenson and Malanowski, 1987",Based on data from 385. to 416. K.;AC,,,,,,
Isopentane,78-78-4,25.3,427.,A,"Stephenson and Malanowski, 1987",Based on data from 412. to 460. K.;AC,,,,,,
Isopentane,78-78-4,24.4,310.,N/A,"Das, Reed, et al., 1977, 2",AC,,,,,,
Isopentane,78-78-4,21.5,350.,N/A,"Das, Reed, et al., 1977, 2",AC,,,,,,
Isopentane,78-78-4,18.0,390.,N/A,"Das, Reed, et al., 1977, 2",AC,,,,,,
Isopentane,78-78-4,12.9,430.,N/A,"Das, Reed, et al., 1977, 2",AC,,,,,,
Isopentane,78-78-4,30.2,205.,N/A,"Stull, 1947",Based on data from 190. to 300. K.;AC,,,,,,
Isopentane,78-78-4,26.2,295.,MM,"Willingham, Taylor, et al., 1945",Based on data from 289. to 301. K.;AC,,,,,,
Neopentane,463-82-1,22.74,282.7,N/A,"Majer and Svoboda, 1985",,,,,,,
Neopentane,463-82-1,22.753,282.61,N/A,"Aston and Messerly, 1936, 2",P = 101.325 kPa;DH,,,,,,
Neopentane,463-82-1,24.3,272.,N/A,"Höpfner, Parekh, et al., 2010","Based on data from 257. to 293. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
Neopentane,463-82-1,24.0,283.,A,"Stephenson and Malanowski, 1987",Based on data from 268. to 313. K.;AC,,,,,,
Neopentane,463-82-1,23.1,327.,A,"Stephenson and Malanowski, 1987",Based on data from 312. to 385. K.;AC,,,,,,
Neopentane,463-82-1,23.1,397.,A,"Stephenson and Malanowski, 1987",Based on data from 382. to 433. K.;AC,,,,,,
Neopentane,463-82-1,22.2,290.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
Neopentane,463-82-1,19.5,330.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
Neopentane,463-82-1,16.2,370.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
Neopentane,463-82-1,11.1,410.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
Neopentane,463-82-1,22.8,358.,N/A,"Dawson, Silberberg, et al., 1973","Based on data from 343. to 433. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
Neopentane,463-82-1,22.8 ± 0.1,283.,N/A,"Aston and Messerly, 1936, 2",AC,,,,,,
2-Methylpentane,107-83-5,27.79,333.4,N/A,"Majer and Svoboda, 1985",,,,,,,
2-Methylpentane,107-83-5,30.2,305.,N/A,"Sapei, Uusi-Kyyny, et al., 2010",Based on data from 290. to 333. K.;AC,,,,,,
2-Methylpentane,107-83-5,30.0,316.,N/A,"Pokki, Uusi-Kyyny, et al., 2002",Based on data from 301. to 333. K.;AC,,,,,,
2-Methylpentane,107-83-5,29.7,325.,N/A,"Aucejo, Loras, et al., 1998",Based on data from 310. to 359. K.;AC,,,,,,
2-Methylpentane,107-83-5,30.5,308.,A,"Stephenson and Malanowski, 1987",Based on data from 293. to 335. K.;AC,,,,,,
2-Methylpentane,107-83-5,28.7 ± 0.1,318.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
2-Methylpentane,107-83-5,27.8 ± 0.1,333.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
2-Methylpentane,107-83-5,30.4,301.,MM,"Willingham, Taylor, et al., 1945",Based on data from 286. to 334. K.;AC,,,,,,
2-Methylpentane,107-83-5,29.8 ± 0.2,293.,C,"Lemons and Felsing, 1943",AC,,,,,,
2-Methylpentane,107-83-5,29.0 ± 0.2,313.,C,"Lemons and Felsing, 1943",AC,,,,,,
2-Methylpentane,107-83-5,27.6 ± 0.2,333.,C,"Lemons and Felsing, 1943",AC,,,,,,
2-Methylpentane,107-83-5,26.9 ± 0.2,353.,C,"Lemons and Felsing, 1943",AC,,,,,,
3-Methylpentane,96-14-0,28.06,336.4,N/A,"Majer and Svoboda, 1985",,,,,,,
3-Methylpentane,96-14-0,29.9,331.,N/A,"Loras, Aucejo, et al., 1999",Based on data from 316. to 361. K.;AC,,,,,,
3-Methylpentane,96-14-0,30.5,308.,A,"Stephenson and Malanowski, 1987",Based on data from 293. to 338. K.;AC,,,,,,
3-Methylpentane,96-14-0,29.5 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylpentane,96-14-0,28.3 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylpentane,96-14-0,27.0 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylpentane,96-14-0,30.00 ± 0.008,303.1,C,"Waddington, Smith, et al., 1949",ALS,,,,,,
3-Methylpentane,96-14-0,30.0 ± 0.1,303.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
3-Methylpentane,96-14-0,28.8 ± 0.1,324.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
3-Methylpentane,96-14-0,28.1 ± 0.1,336.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
3-Methylpentane,96-14-0,30.2,303.,MM,"Willingham, Taylor, et al., 1945",Based on data from 288. to 337. K.;AC,,,,,,
3-Methylpentane,96-14-0,,A (kJ/mol),,,,,,,45.24,,
3-Methylpentane,96-14-0,,α,,,,,,,0.,,
3-Methylpentane,96-14-0,,β,,,,,,,0.2703,,
3-Methylpentane,96-14-0,,Tc(K),,,,,,,504.4,,
3-Methylpentane,96-14-0,,Reference,,,,,,,"Majer and Svoboda, 1985",,
"2,2-Dimethylbutane",75-83-2,26.31,322.9,N/A,"Majer and Svoboda, 1985",,,,,,,
"2,2-Dimethylbutane",75-83-2,28.7,288.,N/A,"Nicolini and Laffitte, 1949","Based on data from 273. to 318. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
"2,2-Dimethylbutane",75-83-2,27.8 ± 0.1,296.,C,"Waddington and Douslin, 1947",AC,,,,,,
"2,2-Dimethylbutane",75-83-2,26.3 ± 0.1,323.,C,"Waddington and Douslin, 1947",AC,,,,,,
"2,2-Dimethylbutane",75-83-2,29.2,274.,N/A,"Kilpatrick and Pitzer, 1946",Based on data from 211. to 289. K.;AC,,,,,,
"2,2-Dimethylbutane",75-83-2,28.3,303.,MM,"Willingham, Taylor, et al., 1945",Based on data from 288. to 323. K.;AC,,,,,,
"2,3-Dimethylbutane",79-29-8,27.38,331.1,N/A,"Majer and Svoboda, 1985",,,,,,,
"2,3-Dimethylbutane",79-29-8,29.24 ± 0.01,295.8,C,"Waddington, Smith, et al., 1949",ALS,,,,,,
"2,3-Dimethylbutane",79-29-8,29.2 ± 0.1,296.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,28.9 ± 0.1,303.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,28.3 ± 0.1,313.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,27.3 ± 0.1,331.,C,"Waddington, Smith, et al., 1949",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,29.6,302.,MM,"Willingham, Taylor, et al., 1945",Based on data from 287. to 332. K.;AC,,,,,,
"2,3-Dimethylbutane",79-29-8,29.2 ± 0.1,293.,C,"Lemons and Felsing, 1943",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,28.2 ± 0.1,313.,C,"Lemons and Felsing, 1943",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,27.0 ± 0.1,333.,C,"Lemons and Felsing, 1943",AC,,,,,,
"2,3-Dimethylbutane",79-29-8,26.1 ± 0.1,353.,C,"Lemons and Felsing, 1943",AC,,,,,,
2-Methylhexane,591-76-4,30.62,363.2,N/A,"Majer and Svoboda, 1985",,,,,,,
2-Methylhexane,591-76-4,34.6,311.,A,"Stephenson and Malanowski, 1987",Based on data from 296. to 365. K.;AC,,,,,,
2-Methylhexane,591-76-4,33.9 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylhexane,591-76-4,32.7 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylhexane,591-76-4,31.3 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylhexane,591-76-4,34.8,306.,N/A,"Forziati, Norris, et al., 1949",Based on data from 291. to 364. K.;AC,,,,,,
3-Methylhexane,589-34-4,30.89,365.,N/A,"Majer and Svoboda, 1985",,,,,,,
3-Methylhexane,589-34-4,35.1,304.,A,"Stephenson and Malanowski, 1987",Based on data from 289. to 366. K.;AC,,,,,,
3-Methylhexane,589-34-4,34.2 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylhexane,589-34-4,32.9 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylhexane,589-34-4,31.7 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
3-Methylhexane,589-34-4,34.9,308.,N/A,"Forziati, Norris, et al., 1949",Based on data from 293. to 366. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,30.79,372.4,N/A,"Majer and Svoboda, 1985",,,,,,,
"2,2,4-Trimethylpentane",540-84-1,36.1,304.,N/A,"Wu, Pividal, et al., 1991",Based on data from 289. to 333. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.6,438.,A,"Stephenson and Malanowski, 1987",Based on data from 423. to 523. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,32.2,387.,A,"Stephenson and Malanowski, 1987",Based on data from 372. to 416. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.5,428.,A,"Stephenson and Malanowski, 1987",Based on data from 413. to 494. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.4,505.,A,"Stephenson and Malanowski, 1987",Based on data from 490. to 544. K.;AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,40.7,209.,A,"Stephenson and Malanowski, 1987","Based on data from 194. to 299. K. See alsoMilazzo, 1956.;AC",,,,,,
"2,2,4-Trimethylpentane",540-84-1,34.8,312.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 297. to 374. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
"2,2,4-Trimethylpentane",540-84-1,34.4 ± 0.1,313.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,33.4 ± 0.1,328.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,32.6 ± 0.1,343.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.7 ± 0.1,358.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.0 ± 0.1,368.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,34.3 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,33.2 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,32.0 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,31.0,371.,C,"Pitzer K.S., 1940",AC,,,,,,
"2,2,4-Trimethylpentane",540-84-1,33.9,333.,EB,"Smith, 1940",Based on data from 318. to 399. K.;AC,,,,,,
2-Methylheptane,592-27-8,33.26,390.8,N/A,"Majer and Svoboda, 1985",,,,,,,
2-Methylheptane,592-27-8,39.8,300.,A,"Stephenson and Malanowski, 1987",Based on data from 285. to 392. K.;AC,,,,,,
2-Methylheptane,592-27-8,41.6,268.,IP,"Stephenson and Malanowski, 1987","Based on data from 233. to 283. K. See alsoOsborn and Douslin, 1974.;AC",,,,,,
2-Methylheptane,592-27-8,38.7 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylheptane,592-27-8,37.3 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylheptane,592-27-8,36.0 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
2-Methylheptane,592-27-8,38.1,330.,MM,"Willingham, Taylor, et al., 1945",Based on data from 315. to 391. K.;AC,,,,,,
2-Methyloctane,3221-61-2,43.2,320.,A,"Stephenson and Malanowski, 1987",Based on data from 305. to 417. K.;AC,,,,,,
2-Methylnonane,871-83-0,38.23,440.2,N/A,"Majer and Svoboda, 1985",,,,,,,
2-Methylnonane,871-83-0,46.4 ± 0.2,339.,A,"Stephenson and Malanowski, 1987",Based on data from 324. to 441. K.;AC,,,,,,
2-Methylnonane,871-83-0,47.3 ± 0.2,328.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methylnonane,871-83-0,46.2 ± 0.2,343.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methylnonane,871-83-0,45.0 ± 0.2,358.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methyldecane,6975-98-0,40.25,462.4,N/A,"Majer and Svoboda, 1985",,,,,,,
2-Methyldecane,6975-98-0,55.5,288.,A,"Stephenson and Malanowski, 1987",Based on data from 273. to 353. K.;AC,,,,,,
2-Methyldecane,6975-98-0,47.4,394.,A,"Stephenson and Malanowski, 1987",Based on data from 379. to 463. K.;AC,,,,,,
2-Methyldecane,6975-98-0,51.9,328.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methyldecane,6975-98-0,50.6,343.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methyldecane,6975-98-0,49.5,358.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
2-Methyldecane,6975-98-0,55.4,283.,IP,"Osborn and Douslin, 1974",Based on data from 273. to 293. K.;AC,,,,,,
Cyclopentane,287-92-3,27.3,322.4,N/A,"Majer and Svoboda, 1985",,,,,,,
Cyclopentane,287-92-3,29.213,298.15,N/A,"Aston, Fink, et al., 1943",P = 41.10 kPa;DH,,,,,,
Cyclopentane,287-92-3,29.2,295.,A,"Stephenson and Malanowski, 1987",Based on data from 280. to 331. K.;AC,,,,,,
Cyclopentane,287-92-3,28.0,337.,A,"Stephenson and Malanowski, 1987",Based on data from 322. to 384. K.;AC,,,,,,
Cyclopentane,287-92-3,27.2,396.,A,"Stephenson and Malanowski, 1987",Based on data from 381. to 455. K.;AC,,,,,,
Cyclopentane,287-92-3,27.5,467.,A,"Stephenson and Malanowski, 1987",Based on data from 452. to 511. K.;AC,,,,,,
Cyclopentane,287-92-3,27.9 ± 0.1,310.,C,"McCullough, Pennington, et al., 1959",AC,,,,,,
Cyclopentane,287-92-3,27.3 ± 0.1,322.,C,"McCullough, Pennington, et al., 1959",AC,,,,,,
Cyclopentane,287-92-3,27.4,323.,N/A,"Spitzer and Pitzer, 1946",AC,,,,,,
Cyclopentane,287-92-3,29.0,304.,MM,"Willingham, Taylor, et al., 1945",Based on data from 289. to 323. K.;AC,,,,,,
Methylcyclopentane,96-37-7,29.08,345.,N/A,"Majer and Svoboda, 1985",,,,,,,
Methylcyclopentane,96-37-7,31.4,315.,N/A,"Sapei, Uusi-Kyyny, et al., 2010",Based on data from 300. to 345. K.;AC,,,,,,
Methylcyclopentane,96-37-7,31.9,303.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 288. to 346. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
Methylcyclopentane,96-37-7,31.33 ± 0.02,304.,V,"McCullough, Pennington, et al., 1959",ALS,,,,,,
Methylcyclopentane,96-37-7,31.3 ± 0.1,304.,C,"McCullough, Pennington, et al., 1959",AC,,,,,,
Methylcyclopentane,96-37-7,30.2 ± 0.1,326.,C,"McCullough, Pennington, et al., 1959",AC,,,,,,
Methylcyclopentane,96-37-7,29.1 ± 0.1,345.,C,"McCullough, Pennington, et al., 1959",AC,,,,,,
Cyclohexane,110-82-7,29.97,353.9,N/A,"Majer and Svoboda, 1985",,,,,,,
Cyclohexane,110-82-7,33.334,298.15,N/A,"Aston, Szasa, et al., 1943",P = 13.18 kPa;DH,,,,,,
Cyclohexane,110-82-7,33.1,315.,EB,"Gierycz, Kosowski, et al., 2009",Based on data from 296. to 353. K.;AC,,,,,,
Cyclohexane,110-82-7,32.7,315.,N/A,"Lubomska, Banas, et al., 2002",Based on data from 300. to 345. K.;AC,,,,,,
Cyclohexane,110-82-7,31.9,324.,EB,"Diogo, Santos, et al., 1995",Based on data from 313. to 336. K.;AC,,,,,,
Cyclohexane,110-82-7,32.2,375.,N/A,"Lee and Holder, 1993",Based on data from 360. to 470. K.;AC,,,,,,
Cyclohexane,110-82-7,32.3,314.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Cyclohexane,110-82-7,31.1,332.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Cyclohexane,110-82-7,30.3,345.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Cyclohexane,110-82-7,30.0,355.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Cyclohexane,110-82-7,30.9,368.,A,"Stephenson and Malanowski, 1987",Based on data from 353. to 414. K.;AC,,,,,,
Cyclohexane,110-82-7,29.6,427.,A,"Stephenson and Malanowski, 1987",Based on data from 412. to 491. K.;AC,,,,,,
Cyclohexane,110-82-7,29.6,504.,A,"Stephenson and Malanowski, 1987",Based on data from 489. to 553. K.;AC,,,,,,
Cyclohexane,110-82-7,32.9,308.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 293. to 355. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
Cyclohexane,110-82-7,32.3 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Cyclohexane,110-82-7,31.2 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Cyclohexane,110-82-7,31.0 ± 0.1,338.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Cyclohexane,110-82-7,30.4 ± 0.1,348.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Cyclohexane,110-82-7,30.1 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Cyclohexane,110-82-7,32.2 ± 0.1,313.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Cyclohexane,110-82-7,31.9 ± 0.1,323.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Cyclohexane,110-82-7,31.1 ± 0.1,333.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Cyclohexane,110-82-7,30.6 ± 0.1,343.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Cyclohexane,110-82-7,30.1 ± 0.1,354.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Cyclohexane,110-82-7,32.5,318.,N/A,"Gaw and Swinton, 1968",Based on data from 303. to 343. K.;AC,,,,,,
Cyclohexane,110-82-7,32.9,313.,N/A,"Cruickshank and Cutler, 1967",Based on data from 298. to 348. K.;AC,,,,,,
