name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
Cyclohexane,110-82-7,32.8,331.,N/A,"Marinichev and Susarev, 1965",Based on data from 316. to 354. K.;AC,,,,,,
Cyclohexane,110-82-7,31.4 ± 0.1,324.,C,"McCullough, Person, et al., 1951",AC,,,,,,
Cyclohexane,110-82-7,30.4 ± 0.1,346.,C,"McCullough, Person, et al., 1951",AC,,,,,,
Cyclohexane,110-82-7,30.1,354.,N/A,"Spitzer and Pitzer, 1946",AC,,,,,,
Cyclohexane,110-82-7,,A (kJ/mol),,,,,,,,43.32,
Cyclohexane,110-82-7,,α,,,,,,,,-0.1437,
Cyclohexane,110-82-7,,β,,,,,,,,0.4512,
Cyclohexane,110-82-7,,Tc(K),,,,,,,,553.4,
Cyclohexane,110-82-7,,Reference,,,,,,,,"Majer and Svoboda, 1985",
Methylcyclohexane,108-87-2,31.27,374.1,N/A,"Majer and Svoboda, 1985",,,,,,,
Methylcyclohexane,108-87-2,33.8,340.,N/A,"Sapei, Uusi-Kyyny, et al., 2010",Based on data from 325. to 374. K.;AC,,,,,,
Methylcyclohexane,108-87-2,36.2,310.,N/A,"Wu, Pividal, et al., 1991",Based on data from 295. to 333. K.;AC,,,,,,
Methylcyclohexane,108-87-2,32.3,388.,A,"Stephenson and Malanowski, 1987",Based on data from 373. to 511. K.;AC,,,,,,
Methylcyclohexane,108-87-2,31.2,516.,A,"Stephenson and Malanowski, 1987",Based on data from 501. to 573. K.;AC,,,,,,
Methylcyclohexane,108-87-2,34.6,323.,A,"Stephenson and Malanowski, 1987","Based on data from 308. to 368. K. See alsoValerga, 1970andBoublik, Fried, et al., 1984.;AC",,,,,,
Methylcyclohexane,108-87-2,32.2,353.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Methylcyclohexane,108-87-2,29.9,393.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Methylcyclohexane,108-87-2,26.9,433.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Methylcyclohexane,108-87-2,23.4,473.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Methylcyclohexane,108-87-2,34.6 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Methylcyclohexane,108-87-2,33.5 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Methylcyclohexane,108-87-2,32.5 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
Methylcyclohexane,108-87-2,31.8,374.,N/A,"Spitzer and Pitzer, 1946",AC,,,,,,
Methylcyclohexane,108-87-2,34.9,314.,MM,"Willingham, Taylor, et al., 1945",Based on data from 299. to 375. K.;AC,,,,,,
Methylcyclohexane,108-87-2,36.1,288.,N/A,"Stuckey and Saylor, 1940",Based on data from 273. to 348. K.;AC,,,,,,
Ethylcyclopentane,1640-89-7,31.96,376.6,N/A,"Majer and Svoboda, 1985",,,,,,,
Ethylcyclopentane,1640-89-7,35.5,323.,A,"Stephenson and Malanowski, 1987",Based on data from 308. to 387. K.;AC,,,,,,
Ethylcyclopentane,1640-89-7,32.9,401.,A,"Stephenson and Malanowski, 1987",Based on data from 386. to 507. K.;AC,,,,,,
Ethylcyclopentane,1640-89-7,31.9,514.,A,"Stephenson and Malanowski, 1987",Based on data from 499. to 569. K.;AC,,,,,,
Ethylcyclopentane,1640-89-7,35.6 ± 0.1,313.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclopentane,1640-89-7,34.8 ± 0.1,328.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclopentane,1640-89-7,33.9 ± 0.1,343.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclopentane,1640-89-7,33.0 ± 0.1,358.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclopentane,1640-89-7,32.5 ± 0.1,368.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclopentane,1640-89-7,35.7,317.,N/A,"Forziati, Norris, et al., 1949",Based on data from 302. to 377. K.;AC,,,,,,
Ethylcyclohexane,1678-91-7,34.04,405.,N/A,"Majer and Svoboda, 1985",,,,,,,
Ethylcyclohexane,1678-91-7,38.6,338.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 323. to 407. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
Ethylcyclohexane,1678-91-7,39.8 ± 0.1,313.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclohexane,1678-91-7,38.9 ± 0.1,328.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclohexane,1678-91-7,37.9 ± 0.1,343.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclohexane,1678-91-7,37.0 ± 0.1,358.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Ethylcyclohexane,1678-91-7,36.3 ± 0.1,368.,C,"Svoboda, Charvátová, et al., 1981",AC,,,,,,
Propylcyclohexane,1678-92-8,41.7,361.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 346. to 431. K. See alsoStull, 1947andForziati, Norris, et al., 1949.;AC",,,,,,
Butylcyclohexane,1678-93-9,47.4 ± 0.2,294.,GS,"Chickos, Hesse, et al., 1995",Based on data from 274. to 313. K.;AC,,,,,,
Butylcyclohexane,1678-93-9,44.9,382.,A,"Stephenson and Malanowski, 1987","Based on data from 367. to 457. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
trans-Decalin,493-02-7,44.2,378.,"A,GS","Stephenson and Malanowski, 1987","Based on data from 363. to 461. K. See alsoCamin and Rossini, 1955.;AC",,,,,,
cis-Decalin,493-01-6,45.5,386.,"A,GS","Stephenson and Malanowski, 1987","Based on data from 371. to 473. K. See alsoCamin and Rossini, 1955.;AC",,,,,,
Bicyclohexyl,92-51-3,53.8,346.,A,"Stephenson and Malanowski, 1987",Based on data from 331. to 511. K.;AC,,,,,,
Bicyclohexyl,92-51-3,50.1,435.,N/A,"Wieczorek and Kobayashi, 1981",AC,,,,,,
Bicyclohexyl,92-51-3,42.5,525.,N/A,"Wieczorek and Kobayashi, 1981",AC,,,,,,
Benzene,71-43-2,30.72,353.3,N/A,"Majer and Svoboda, 1985",,,,,,,
Benzene,71-43-2,33.2,320.,N/A,"Lubomska, Banas, et al., 2002",Based on data from 305. to 345. K.;AC,,,,,,
Benzene,71-43-2,35.6,258. to 313.,GC,"Liu and Dickhut, 1994",AC,,,,,,
Benzene,71-43-2,33.5,311.,EB,"Ambrose, Ewing, et al., 1990",Based on data from 296. to 377. K.;AC,,,,,,
Benzene,71-43-2,33.4,307.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,33.1,314.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,32.4,324.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,31.9,332.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,31.4,344.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,30.6,353.,C,"Dong, Lin, et al., 1988",AC,,,,,,
Benzene,71-43-2,34.4,294.,A,"Stephenson and Malanowski, 1987",Based on data from 279. to 377. K.;AC,,,,,,
Benzene,71-43-2,31.5,368.,A,"Stephenson and Malanowski, 1987",Based on data from 353. to 422. K.;AC,,,,,,
Benzene,71-43-2,30.2,435.,A,"Stephenson and Malanowski, 1987",Based on data from 420. to 502. K.;AC,,,,,,
Benzene,71-43-2,30.3,516.,A,"Stephenson and Malanowski, 1987",Based on data from 501. to 562. K.;AC,,,,,,
Benzene,71-43-2,30.8,352.,N/A,"Natarajan, 1983",AC,,,,,,
Benzene,71-43-2,30.5,361.,N/A,"Natarajan, 1983",AC,,,,,,
Benzene,71-43-2,30.2,366.,N/A,"Natarajan, 1983",AC,,,,,,
Benzene,71-43-2,35.3,343.,N/A,"Tsonopoulos and Wilson, 1983",Based on data from 313. to 373. K.;AC,,,,,,
Benzene,71-43-2,31.,350.,N/A,"Rao and Viswanath, 1977",AC,,,,,,
Benzene,71-43-2,33.0 ± 0.1,313.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Benzene,71-43-2,32.2 ± 0.1,328.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Benzene,71-43-2,31.8 ± 0.1,333.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Benzene,71-43-2,31.4 ± 0.1,343.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Benzene,71-43-2,30.9 ± 0.1,353.,C,"Svoboda, Veselý, et al., 1973",AC,,,,,,
Benzene,71-43-2,32.6 ± 0.4,313.,DSC,"Mita, Imai, et al., 1971",AC,,,,,,
Benzene,71-43-2,32.5 ± 0.5,328.,DSC,"Mita, Imai, et al., 1971",AC,,,,,,
Benzene,71-43-2,31.6 ± 0.4,345.,DSC,"Mita, Imai, et al., 1971",AC,,,,,,
Benzene,71-43-2,34.1,299.,N/A,"Forziati, Norris, et al., 1949",Based on data from 284. to 354. K.;AC,,,,,,
Benzene,71-43-2,34.1,293.,N/A,"Yarym-Agaev, Fedos'ev, et al., 1949",AC,,,,,,
Benzene,71-43-2,34.1,297.,N/A,"Thomson, 1946",Based on data from 282. to 354. K.;AC,,,,,,
Benzene,71-43-2,31.2,294.,N/A,"Scott and Brickwedde, 1945",AC,,,,,,
Benzene,71-43-2,34.1,303.,MM,"Willingham, Taylor, et al., 1945",Based on data from 288. to 354. K.;AC,,,,,,
Benzene,71-43-2,33.4,313.,EB,"Smith, 1941",Based on data from 298. to 373. K.;AC,,,,,,
Benzene,71-43-2,34.5,288.,N/A,"Stuckey and Saylor, 1940",Based on data from 273. to 348. K.;AC,,,,,,
Benzene,71-43-2,,A (kJ/mol),,,,,,,,,47.41
Benzene,71-43-2,,α,,,,,,,,,0.1231
Benzene,71-43-2,,β,,,,,,,,,0.3602
Benzene,71-43-2,,Tc(K),,,,,,,,,562.1
Benzene,71-43-2,,Reference,,,,,,,,,"Majer and Svoboda, 1985"
Toluene,108-88-3,33.18,383.8,N/A,"Majer and Svoboda, 1985",,,,,,,
Toluene,108-88-3,35.7,346.,N/A,"Lee and Holder, 1993",Based on data from 331. to 496. K.;AC,,,,,,
Toluene,108-88-3,40.6,264.,A,"Stephenson and Malanowski, 1987",Based on data from 210. to 279. K.;AC,,,,,,
Toluene,108-88-3,34.4,398.,A,"Stephenson and Malanowski, 1987",Based on data from 383. to 445. K.;AC,,,,,,
Toluene,108-88-3,33.2,455.,A,"Stephenson and Malanowski, 1987",Based on data from 440. to 531. K.;AC,,,,,,
Toluene,108-88-3,33.3,545.,A,"Stephenson and Malanowski, 1987",Based on data from 530. to 592. K.;AC,,,,,,
Toluene,108-88-3,38.9,284.,A,"Stephenson and Malanowski, 1987",Based on data from 273. to 295. K.;AC,,,,,,
Toluene,108-88-3,37.0,323.,N/A,"Stephenson and Malanowski, 1987","Based on data from 308. to 386. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
Toluene,108-88-3,33.5 ± 0.1,380.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
Toluene,108-88-3,32.1 ± 0.1,403.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
Toluene,108-88-3,29.4 ± 0.1,441.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
Toluene,108-88-3,27.1 ± 0.1,470.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
Toluene,108-88-3,24.0 ± 0.1,505.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
Toluene,108-88-3,35.4,333.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Toluene,108-88-3,33.4,373.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Toluene,108-88-3,31.4,413.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Toluene,108-88-3,28.4,453.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Toluene,108-88-3,24.0,493.,N/A,"Eubank, Cediel, et al., 1984",AC,,,,,,
Toluene,108-88-3,35.4,360.,N/A,"Rivenq, 1975",Based on data from 343. to 383. K.;AC,,,,,,
Toluene,108-88-3,37.3,318.,N/A,"Gaw and Swinton, 1968",Based on data from 303. to 343. K.;AC,,,,,,
Toluene,108-88-3,36.9,303.,N/A,"Van Ness, Soczek, et al., 1967",Based on data from 288. to 348. K.;AC,,,,,,
Toluene,108-88-3,35.65,341.27,V,"Scott, Gutherie, et al., 1962",low T and vapor flow calorimetry;ALS,,,,,,
Toluene,108-88-3,37.8,278.,N/A,"Milazzo, 1956",Based on data from 210. to 293. K.;AC,,,,,,
Toluene,108-88-3,37.8,301.,N/A,"Thomson, 1946",Based on data from 286. to 362. K.;AC,,,,,,
Toluene,108-88-3,37.0,323.,MM,"Willingham, Taylor, et al., 1945",Based on data from 308. to 384. K.;AC,,,,,,
Toluene,108-88-3,38.8,288.,N/A,"Pitzer and Scott, 1943",Based on data from 273. to 323. K.;AC,,,,,,
Ethylbenzene,100-41-4,35.57,409.3,N/A,"Majer and Svoboda, 1985",,,,,,,
Ethylbenzene,100-41-4,42.490,294.01,N/A,"Scott and Brickwedde, 1945, 2",DH,,,,,,
Ethylbenzene,100-41-4,41.8,313.,A,"Stephenson and Malanowski, 1987",Based on data from 298. to 420. K.;AC,,,,,,
Ethylbenzene,100-41-4,37.0,424.,A,"Stephenson and Malanowski, 1987",Based on data from 409. to 459. K.;AC,,,,,,
Ethylbenzene,100-41-4,35.8,472.,A,"Stephenson and Malanowski, 1987",Based on data from 457. to 554. K.;AC,,,,,,
Ethylbenzene,100-41-4,35.5,564.,A,"Stephenson and Malanowski, 1987",Based on data from 549. to 617. K.;AC,,,,,,
Ethylbenzene,100-41-4,40.6,335.,N/A,"Paul, Krug, et al., 1986",Based on data from 320. to 400. K.;AC,,,,,,
Ethylbenzene,100-41-4,40.5 ± 0.1,328.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
Ethylbenzene,100-41-4,39.5 ± 0.1,343.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
Ethylbenzene,100-41-4,38.6 ± 0.1,358.,C,"Svoboda, Charvátová, et al., 1982",AC,,,,,,
Ethylbenzene,100-41-4,40.0,345.,MM,"Willingham, Taylor, et al., 1945","Based on data from 330. to 410. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
o-Xylene,95-47-6,36.24,417.6,N/A,"Majer and Svoboda, 1985",,,,,,,
o-Xylene,95-47-6,41.1,348.,A,"Stephenson and Malanowski, 1987",Based on data from 333. to 419. K.;AC,,,,,,
o-Xylene,95-47-6,38.0,431.,A,"Stephenson and Malanowski, 1987",Based on data from 416. to 473. K.;AC,,,,,,
o-Xylene,95-47-6,36.7,486.,A,"Stephenson and Malanowski, 1987",Based on data from 471. to 571. K.;AC,,,,,,
o-Xylene,95-47-6,36.7,582.,A,"Stephenson and Malanowski, 1987",Based on data from 567. to 630. K.;AC,,,,,,
o-Xylene,95-47-6,39.8,401.,N/A,"Castellari, Francesconi, et al., 1982",Based on data from 386. to 416. K.;AC,,,,,,
o-Xylene,95-47-6,40.8,352.,MM,"Willingham, Taylor, et al., 1945","Based on data from 337. to 419. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
o-Xylene,95-47-6,45.0,288.,N/A,"Pitzer and Scott, 1943","Based on data from 273. to 323. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
m-Xylene,108-38-3,35.66,412.3,N/A,"Majer and Svoboda, 1985",,,,,,,
m-Xylene,108-38-3,39.2,375.,N/A,"Swiatek and Malanowski, 2002",Based on data from 360. to 410. K.;AC,,,,,,
m-Xylene,108-38-3,40.7,342.,N/A,"Park and Gmehling, 1989",Based on data from 327. to 412. K.;AC,,,,,,
m-Xylene,108-38-3,44.7,282.,A,"Stephenson and Malanowski, 1987",Based on data from 267. to 301. K.;AC,,,,,,
m-Xylene,108-38-3,37.5,427.,A,"Stephenson and Malanowski, 1987",Based on data from 412. to 462. K.;AC,,,,,,
m-Xylene,108-38-3,36.4,476.,A,"Stephenson and Malanowski, 1987",Based on data from 461. to 554. K.;AC,,,,,,
m-Xylene,108-38-3,36.2,565.,A,"Stephenson and Malanowski, 1987",Based on data from 550. to 617. K.;AC,,,,,,
m-Xylene,108-38-3,40.4,346.,MM,"Stephenson and Malanowski, 1987","Based on data from 331. to 415. K. See alsoWillingham, Taylor, et al., 1945andForziati, Norris, et al., 1949.;AC",,,,,,
m-Xylene,108-38-3,38.7,395.,N/A,"Machat, 1983",Based on data from 380. to 411. K.;AC,,,,,,
m-Xylene,108-38-3,43.2,288.,N/A,"Pitzer and Scott, 1943","Based on data from 273. to 333. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
p-Xylene,106-42-3,35.67,411.5,N/A,"Majer and Svoboda, 1985",,,,,,,
p-Xylene,106-42-3,40.3,353.,N/A,"Hossenlopp and Archer, 1988",AC,,,,,,
p-Xylene,106-42-3,37.3,426.,A,"Stephenson and Malanowski, 1987",Based on data from 411. to 463. K.;AC,,,,,,
p-Xylene,106-42-3,36.1,475.,A,"Stephenson and Malanowski, 1987",Based on data from 460. to 553. K.;AC,,,,,,
p-Xylene,106-42-3,36.2,566.,A,"Stephenson and Malanowski, 1987",Based on data from 551. to 616. K.;AC,,,,,,
p-Xylene,106-42-3,42.4,301.,"IP,EB","Stephenson and Malanowski, 1987","Based on data from 286. to 453. K. See alsoOsborn and Douslin, 1974.;AC",,,,,,
p-Xylene,106-42-3,36.0 ± 0.1,411.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
p-Xylene,106-42-3,34.5 ± 0.1,436.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
p-Xylene,106-42-3,30.5 ± 0.1,484.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
p-Xylene,106-42-3,24.7 ± 0.1,540.,C,"Natarajan and Viswanath, 1985",AC,,,,,,
p-Xylene,106-42-3,37.3,395.,N/A,"Castellari, Francesconi, et al., 1982",Based on data from 380. to 410. K.;AC,,,,,,
p-Xylene,106-42-3,41.6,318.,N/A,"Gaw and Swinton, 1968",Based on data from 303. to 343. K.;AC,,,,,,
p-Xylene,106-42-3,40.1,347.,MM,"Willingham, Taylor, et al., 1945","Based on data from 332. to 413. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
Styrene,100-42-5,42.5,260.,A,"Stephenson and Malanowski, 1987",Based on data from 245. to 334. K.;AC,,,,,,
Styrene,100-42-5,41.5,349.,A,"Stephenson and Malanowski, 1987",Based on data from 334. to 419. K.;AC,,,,,,
Styrene,100-42-5,42.5,319.,N/A,"Chaiyavech and Van Winkle, 1959",Based on data from 306. to 333. K.;AC,,,,,,
Styrene,100-42-5,43.1,318.,N/A,"Dreyer, Martin, et al., 1955",Based on data from 303. to 417. K.;AC,,,,,,
Styrene,100-42-5,40.2,348.,N/A,"Burchfield, 1942",Based on data from 306. to 389. K.;AC,,,,,,
Propylbenzene,103-65-1,42.7,363.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 348. to 433. K. See alsoForziati, Norris, et al., 1949andWillingham, Taylor, et al., 1945.;AC",,,,,,
Propylbenzene,103-65-1,43.8,355.,N/A,"Paul, Krug, et al., 1986",Based on data from 340. to 391. K.;AC,,,,,,
Isopropylbenzene,98-82-8,41.2,364.,N/A,"Cepeda, Gonzalez, et al., 1989",Based on data from 349. to 426. K.;AC,,,,,,
Isopropylbenzene,98-82-8,42.1,354.,A,"Stephenson and Malanowski, 1987",Based on data from 339. to 433. K.;AC,,,,,,
Isopropylbenzene,98-82-8,41.9,358.,MM,"Forziati, Norris, et al., 1949","Based on data from 343. to 426. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
"1,2,3-Trimethylbenzene",526-73-8,44.8,378.,A,"Stephenson and Malanowski, 1987","Based on data from 363. to 456. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
"1,2,3-Trimethylbenzene",526-73-8,42.5,265.,RG,"Hopke and Sears, 1948",Based on data from 259. to 270. K.;AC,,,,,,
"1,2,4-Trimethylbenzene",95-63-6,44.1,372.,A,"Stephenson and Malanowski, 1987","Based on data from 357. to 450. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
"1,2,4-Trimethylbenzene",95-63-6,46.5,262.,RG,"Hopke and Sears, 1948",Based on data from 257. to 267. K.;AC,,,,,,
"1,3,5-Trimethylbenzene",108-67-8,46.2 ± 1.3,319.,MM,"Wiberg and Waldron, 1991",Based on data from 296. to 342. K.;AC,,,,,,
